Season,Team,LoseAway,LoseHome,WinAway,WinHome
2008,Adelaide Thunderbirds,3,2,5,5
2008,Canterbury Tactix,5,3,3,2
2008,Central Pulse,6,4,0,0
2008,Melbourne Vixens,3,2,5,4
2008,New South Wales Swifts,2,1,5,7
2008,Northern Mystics,3,5,2,3
2008,Queensland Firebirds,5,1,1,6
2008,Southern Steel,4,2,2,5
2008,Waikato Bay of Plenty Magic,4,1,3,8
2008,West Coast Fever,6,5,1,1
2009,Adelaide Thunderbirds,3,1,5,7
2009,Canterbury Tactix,5,3,1,4
2009,Central Pulse,6,6,0,1
2009,Melbourne Vixens,1,0,5,9
2009,New South Wales Swifts,7,4,0,2
2009,Northern Mystics,6,0,4,1
2009,Queensland Firebirds,3,2,4,4
2009,Southern Steel,5,0,3,5
2009,Waikato Bay of Plenty Magic,3,1,5,6
2009,West Coast Fever,4,4,2,3
2010,Adelaide Thunderbirds,3,1,5,6
2010,Canterbury Tactix,7,5,0,1
2010,Central Pulse,7,5,0,1
2010,Melbourne Vixens,4,3,3,3
2010,New South Wales Swifts,0,2,6,7
2010,Northern Mystics,3,3,3,4
2010,Queensland Firebirds,4,2,2,5
2010,Southern Steel,4,2,3,5
2010,Waikato Bay of Plenty Magic,4,1,4,7
2010,West Coast Fever,6,3,1,3
2011,Adelaide Thunderbirds,4,4,2,3
2011,Canterbury Tactix,6,6,0,1
2011,Central Pulse,5,5,1,2
2011,Melbourne Vixens,3,2,3,5
2011,New South Wales Swifts,2,3,5,4
2011,Northern Mystics,3,2,7,4
2011,Queensland Firebirds,0,0,6,8
2011,Southern Steel,6,3,1,3
2011,Waikato Bay of Plenty Magic,2,3,6,4
2011,West Coast Fever,4,6,2,1
2012,Adelaide Thunderbirds,4,1,4,5
2012,Canterbury Tactix,6,5,1,1
2012,Central Pulse,5,3,2,3
2012,Melbourne Vixens,1,3,6,5
2012,New South Wales Swifts,4,1,2,6
2012,Northern Mystics,2,3,5,5
2012,Queensland Firebirds,4,2,2,5
2012,Southern Steel,5,7,1,1
2012,Waikato Bay of Plenty Magic,3,1,5,7
2012,West Coast Fever,6,4,1,2
2013,Adelaide Thunderbirds,1,0,5,9
2013,Canterbury Tactix,5,6,1,1
2013,Central Pulse,4,1,2,6
2013,Melbourne Vixens,3,3,4,5
2013,New South Wales Swifts,6,3,1,3
2013,Northern Mystics,7,5,0,1
2013,Queensland Firebirds,2,3,8,3
2013,Southern Steel,5,2,2,4
2013,Waikato Bay of Plenty Magic,4,1,3,6
2013,West Coast Fever,5,3,1,5
