Team,Oposition,Wins,Losses,WinRatio,LossRatio
Mystics,Thunderbirds,1,5,0.166666667,0.833333333
Mystics,Tactix,8,4,0.666666667,0.333333333
Mystics,Pulse,11,1,0.916666667,0.083333333
Mystics,Vixens,2,5,0.285714286,0.714285714
Mystics,Swifts,2,5,0.285714286,0.714285714
Mystics,Mystics,0,0,0,0
Mystics,Firebirds,0,7,0,1
Mystics,Steel,7,5,0.583333333,0.416666667
Mystics,Magic,3,11,0.214285714,0.785714286
Mystics,Fever,3,3,0.5,0.5
Firebirds,Thunderbirds,2,11,0.153846154,0.846153846
Firebirds,Tactix,5,1,0.833333333,0.166666667
Firebirds,Pulse,6,0,1,0
Firebirds,Vixens,6,7,0.461538462,0.538461538
Firebirds,Swifts,8,4,0.666666667,0.333333333
Firebirds,Mystics,7,0,1,0
Firebirds,Firebirds,0,0,0,0
Firebirds,Steel,5,1,0.833333333,0.166666667
Firebirds,Magic,5,3,0.625,0.375
Firebirds,Fever,11,1,0.916666667,0.083333333
Steel,Thunderbirds,2,5,0.285714286,0.714285714
Steel,Tactix,9,3,0.75,0.25
Steel,Pulse,8,4,0.666666667,0.333333333
Steel,Vixens,2,4,0.333333333,0.666666667
Steel,Swifts,2,4,0.333333333,0.666666667
Steel,Mystics,5,7,0.416666667,0.583333333
Steel,Firebirds,1,5,0.166666667,0.833333333
Steel,Steel,0,0,0,0
Steel,Magic,4,9,0.307692308,0.692307692
Steel,Fever,2,4,0.333333333,0.666666667
Magic,Thunderbirds,6,4,0.6,0.4
Magic,Tactix,12,0,1,0
Magic,Pulse,11,1,0.916666667,0.083333333
Magic,Vixens,4,4,0.5,0.5
Magic,Swifts,3,6,0.333333333,0.666666667
Magic,Mystics,11,3,0.785714286,0.214285714
Magic,Firebirds,3,5,0.375,0.625
Magic,Steel,9,4,0.692307692,0.307692308
Magic,Magic,0,0,0,0
Magic,Fever,5,1,0.833333333,0.166666667
Fever,Thunderbirds,1,11,0.083333333,0.916666667
Fever,Tactix,5,1,0.833333333,0.166666667
Fever,Pulse,3,3,0.5,0.5
Fever,Vixens,1,11,0.083333333,0.916666667
Fever,Swifts,3,9,0.25,0.75
Fever,Mystics,3,3,0.5,0.5
Fever,Firebirds,1,11,0.083333333,0.916666667
Fever,Steel,4,2,0.666666667,0.333333333
Fever,Magic,1,5,0.166666667,0.833333333
Fever,Fever,0,0,0,0
Thunderbirds,Thunderbirds,0,0,0,0
Thunderbirds,Tactix,6,0,1,0
Thunderbirds,Pulse,5,1,0.833333333,0.166666667
Thunderbirds,Vixens,6,9,0.4,0.6
Thunderbirds,Swifts,8,5,0.615384615,0.384615385
Thunderbirds,Mystics,5,1,0.833333333,0.166666667
Thunderbirds,Firebirds,11,2,0.846153846,0.153846154
Thunderbirds,Steel,5,2,0.714285714,0.285714286
Thunderbirds,Magic,4,6,0.4,0.6
Thunderbirds,Fever,11,1,0.916666667,0.083333333
Tactix,Thunderbirds,0,6,0,1
Tactix,Tactix,0,0,0,0
Tactix,Pulse,5,7,0.416666667,0.583333333
Tactix,Vixens,0,6,0,1
Tactix,Swifts,2,4,0.333333333,0.666666667
Tactix,Mystics,4,8,0.333333333,0.666666667
Tactix,Firebirds,1,5,0.166666667,0.833333333
Tactix,Steel,3,9,0.25,0.75
Tactix,Magic,0,12,0,1
Tactix,Fever,1,5,0.166666667,0.833333333
Pulse,Thunderbirds,1,5,0.166666667,0.833333333
Pulse,Tactix,7,5,0.583333333,0.416666667
Pulse,Pulse,0,0,0,0
Pulse,Vixens,0,6,0,1
Pulse,Swifts,2,4,0.333333333,0.666666667
Pulse,Mystics,1,11,0.083333333,0.916666667
Pulse,Firebirds,0,6,0,1
Pulse,Steel,4,8,0.333333333,0.666666667
Pulse,Magic,1,11,0.083333333,0.916666667
Pulse,Fever,2,4,0.333333333,0.666666667
Vixens,Thunderbirds,9,6,0.6,0.4
Vixens,Tactix,6,0,1,0
Vixens,Pulse,6,0,1,0
Vixens,Vixens,0,0,0,0
Vixens,Swifts,5,7,0.416666667,0.583333333
Vixens,Mystics,5,2,0.714285714,0.285714286
Vixens,Firebirds,7,6,0.538461538,0.461538462
Vixens,Steel,4,2,0.666666667,0.333333333
Vixens,Magic,4,4,0.5,0.5
Vixens,Fever,11,1,0.916666667,0.083333333
Swifts,Thunderbirds,5,8,0.384615385,0.615384615
Swifts,Tactix,4,2,0.666666667,0.333333333
Swifts,Pulse,4,2,0.666666667,0.333333333
Swifts,Vixens,7,5,0.583333333,0.416666667
Swifts,Swifts,0,0,0,0
Swifts,Mystics,5,2,0.714285714,0.285714286
Swifts,Firebirds,4,8,0.333333333,0.666666667
Swifts,Steel,4,2,0.666666667,0.333333333
Swifts,Magic,6,3,0.666666667,0.333333333
Swifts,Fever,9,3,0.75,0.25
