Team,Oposition,Wins,Losses
Mystics,Thunderbirds,1,5
Mystics,Tactix,8,4
Mystics,Pulse,11,1
Mystics,Vixens,2,5
Mystics,Swifts,2,5
Mystics,Mystics,0,0
Mystics,Firebirds,0,7
Mystics,Steel,7,5
Mystics,Magic,3,11
Mystics,Fever,3,3
Firebirds,Thunderbirds,2,11
Firebirds,Tactix,5,1
Firebirds,Pulse,6,0
Firebirds,Vixens,6,7
Firebirds,Swifts,8,4
Firebirds,Mystics,7,0
Firebirds,Firebirds,0,0
Firebirds,Steel,5,1
Firebirds,Magic,5,3
Firebirds,Fever,11,1
Steel,Thunderbirds,2,5
Steel,Tactix,9,3
Steel,Pulse,8,4
Steel,Vixens,2,4
Steel,Swifts,2,4
Steel,Mystics,5,7
Steel,Firebirds,1,5
Steel,Steel,0,0
Steel,Magic,4,9
Steel,Fever,2,4
Magic,Thunderbirds,6,4
Magic,Tactix,12,0
Magic,Pulse,11,1
Magic,Vixens,4,4
Magic,Swifts,3,6
Magic,Mystics,11,3
Magic,Firebirds,3,5
Magic,Steel,9,4
Magic,Magic,0,0
Magic,Fever,5,1
Fever,Thunderbirds,1,11
Fever,Tactix,5,1
Fever,Pulse,3,3
Fever,Vixens,1,11
Fever,Swifts,3,9
Fever,Mystics,3,3
Fever,Firebirds,1,11
Fever,Steel,4,2
Fever,Magic,1,5
Fever,Fever,0,0
Thunderbirds,Thunderbirds,0,0
Thunderbirds,Tactix,6,0
Thunderbirds,Pulse,5,1
Thunderbirds,Vixens,6,9
Thunderbirds,Swifts,8,5
Thunderbirds,Mystics,5,1
Thunderbirds,Firebirds,11,2
Thunderbirds,Steel,5,2
Thunderbirds,Magic,4,6
Thunderbirds,Fever,11,1
Tactix,Thunderbirds,0,6
Tactix,Tactix,0,0
Tactix,Pulse,5,7
Tactix,Vixens,0,6
Tactix,Swifts,2,4
Tactix,Mystics,4,8
Tactix,Firebirds,1,5
Tactix,Steel,3,9
Tactix,Magic,0,12
Tactix,Fever,1,5
Pulse,Thunderbirds,1,5
Pulse,Tactix,7,5
Pulse,Pulse,0,0
Pulse,Vixens,0,6
Pulse,Swifts,2,4
Pulse,Mystics,1,11
Pulse,Firebirds,0,6
Pulse,Steel,4,8
Pulse,Magic,1,11
Pulse,Fever,2,4
Vixens,Thunderbirds,9,6
Vixens,Tactix,6,0
Vixens,Pulse,6,0
Vixens,Vixens,0,0
Vixens,Swifts,5,7
Vixens,Mystics,5,2
Vixens,Firebirds,7,6
Vixens,Steel,4,2
Vixens,Magic,4,4
Vixens,Fever,11,1
Swifts,Thunderbirds,5,8
Swifts,Tactix,4,2
Swifts,Pulse,4,2
Swifts,Vixens,7,5
Swifts,Swifts,0,0
Swifts,Mystics,5,2
Swifts,Firebirds,4,8
Swifts,Steel,4,2
Swifts,Magic,6,3
Swifts,Fever,9,3
